Ticker,Sector,ESG Risk Score,G Score,E Score,S Score
0001.HK,Industrials,26.92,6.88,12.04,8.0
0002.HK,Utilities,23.68,6.77,11.16,5.75
0003.HK,Utilities,20.79,7.23,6.38,7.18
0004.HK,Real Estate,19.21,8.24,4.7,6.26
0005.HK,Financial Services,25.47,9.27,1.44,14.75
0006.HK,Utilities,33.95,6.84,17.29,9.82
0010.HK,Real Estate,17.22,8.1,4.22,4.9
0011.HK,Financial Services,18.02,7.92,0.64,9.45
0012.HK,Real Estate,17.08,7.3,4.2,5.57
0016.HK,Real Estate,16.24,8.24,4.08,3.93
0017.HK,Real Estate,15.81,8.04,3.09,4.68
0019.HK,Industrials,34.46,9.79,11.92,12.76
0020.HK,Technology,16.49,8.1,2.11,6.27
0023.HK,Financial Services,20.56,10.96,2.29,7.31
0027.HK,Consumer Cyclical,27.02,13.0,3.49,10.53
0066.HK,Industrials,20.56,4.3,7.59,8.66
0083.HK,Real Estate,12.28,5.72,1.53,5.03
0101.HK,Real Estate,15.28,7.51,2.6,5.17
0135.HK,Energy,27.35,4.69,9.11,13.55
0144.HK,Industrials,16.43,7.23,2.66,6.55
0151.HK,Consumer Defensive,35.62,6.69,16.36,12.58
0168.HK,Consumer Defensive,29.9,7.76,10.24,11.89
0175.HK,Consumer Cyclical,17.84,6.49,5.38,5.97
0177.HK,Industrials,12.86,5.56,1.82,5.49
0257.HK,Industrials,22.54,5.03,11.31,6.2
0267.HK,Industrials,51.63,12.53,20.91,18.19
0270.HK,Utilities,30.78,7.47,12.67,10.64
0288.HK,Consumer Defensive,36.44,8.93,16.11,11.4
0291.HK,Consumer Defensive,30.41,7.0,11.48,11.93
0293.HK,Industrials,31.07,0.0,0.0,0.0
0317.HK,Industrials,38.73,0.0,0.0,0.0
0322.HK,Consumer Defensive,33.3,7.36,14.52,11.41
0338.HK,Energy,28.59,7.51,16.52,4.55
0347.HK,Basic Materials,44.37,0.0,0.0,0.0
0358.HK,Basic Materials,52.11,12.88,20.37,18.87
0371.HK,Utilities,36.86,8.45,16.75,11.66
0384.HK,Utilities,28.77,8.45,9.0,11.31
0386.HK,Energy,52.94,11.94,25.34,15.65
0388.HK,Financial Services,17.24,8.96,1.37,6.92
0390.HK,Industrials,50.12,16.54,12.67,20.91
0392.HK,Industrials,34.12,8.1,13.61,12.4
0489.HK,Consumer Cyclical,25.96,8.51,8.45,9.01
0525.HK,Industrials,30.13,0.0,0.0,0.0
0551.HK,Consumer Cyclical,21.1,0.0,0.0,0.0
