Sector,Total ESG Risk Mean,Total ESG Risk Standard Deviation,Total ESG Risk Min,Total ESG Risk Max,E Risk Mean,E Risk Standard Deviation,E Risk Min,E Risk Max,S Risk Mean,S Risk Standard Deviation,S Risk Min,S Risk Max,G Risk Mean,G Risk Standard Deviation,G Risk Min,G Risk Max
Real Estate,16.26076923076923,2.72697470205373,10.81,21.67,3.8492307692307697,1.222602835064475,1.53,6.0,5.1753846153846155,1.3819829677231636,2.36,8.25,7.233076923076923,0.8149783700134277,5.72,8.24
Technology,21.268333333333334,6.044651906161898,16.49,32.31,3.034,2.6876253459141215,0.22,7.19,7.9879999999999995,3.327960336302102,3.25,11.89,8.036000000000001,0.9729491250831155,6.77,9.49
Communication Services,24.615714285714287,5.678177105206849,17.74,31.43,4.536666666666666,3.197321795920246,0.11,8.67,11.278333333333334,1.7411308585705636,9.19,14.06,7.665,0.7144998250524633,6.6,8.55
Consumer Cyclical,25.50722222222222,5.83209961743731,16.37,37.55,6.609999999999999,3.2815283895509073,1.65,12.06,10.348666666666666,2.723114988041312,5.97,14.87,8.675999999999998,2.1683430145093343,5.15,13.0
Financial Services,26.725151515151516,5.642269114246127,12.98,36.92,1.9603125000000001,0.6146936523914354,0.56,3.17,11.940000000000003,2.6862841585813593,6.09,15.46,12.753124999999999,3.14498826860728,6.33,19.14
Healthcare,27.756,10.177945765231804,16.38,39.07,3.536,0.8268192063565045,2.48,4.79,13.845999999999998,6.885094770589581,6.1,21.12,10.376000000000001,2.654897361481231,6.93,13.15
Consumer Defensive,30.0875,6.632630915190657,15.04,36.44,11.742499999999998,5.241833784904995,0.11,16.36,10.805,1.509134094202934,8.41,12.58,7.53875,1.1119537182043917,6.53,9.46
Utilities,33.69133333333333,8.687269722881595,20.79,49.7,15.065333333333333,6.087282840558042,6.38,25.52,10.809999999999999,2.7566542868380974,5.75,15.27,7.817333333333333,0.8107885638303586,6.38,8.91
Industrials,34.06896551724138,12.19873100684411,12.86,59.95,12.622727272727275,8.660150764011634,1.82,45.67,13.167272727272728,8.526220165057335,5.49,45.29,10.122272727272726,7.252500345081776,4.3,38.82
Basic Materials,42.04666666666667,8.803196389191067,30.61,52.11,18.502000000000002,2.456526002304882,15.88,21.76,13.41,5.36933422316026,7.44,18.87,9.668,2.8816523038007205,5.41,12.88
Energy,42.086,12.063624109970712,26.3,56.33,22.15625,9.638766870596795,9.11,34.09,12.33375,4.5416451943572795,4.55,17.6,8.350000000000001,2.796548893598271,4.69,12.56
