Ticker,ESG Risk Score,G Score,E Score,S Score
0001.HK,37.18,7.91,14.73,14.54
0002.HK,29.22,6.76,12.06,10.4
0003.HK,21.88,6.92,8.36,6.6
0004.HK,21.94,8.68,5.08,8.17
0005.HK,23.04,7.29,1.91,13.84
0006.HK,36.27,8.11,20.18,7.99
0010.HK,15.41,9.08,0.89,5.43
0011.HK,23.19,10.93,1.14,11.12
0012.HK,22.21,9.74,5.69,6.77
0016.HK,18.06,8.74,3.69,5.63
0017.HK,14.45,8.13,0.94,5.39
0019.HK,36.87,10.06,13.81,13.0
0020.HK,16.49,8.1,2.11,6.27
0023.HK,24.57,12.51,1.72,10.34
0027.HK,27.35,13.56,3.71,10.08
0066.HK,21.06,4.33,7.04,9.68
0083.HK,14.35,6.56,3.39,4.4
0101.HK,16.61,7.82,3.12,5.66
0135.HK,30.33,5.04,11.44,13.85
0144.HK,17.58,7.46,3.03,7.08
0151.HK,39.71,7.12,15.88,16.72
0168.HK,29.92,8.28,9.77,11.87
0175.HK,24.03,8.98,5.66,9.39
0177.HK,13.0,6.2,1.38,5.43
0257.HK,23.25,5.31,11.72,6.22
0267.HK,52.21,12.04,20.89,19.29
0270.HK,30.85,7.67,12.65,10.53
0288.HK,37.04,7.87,15.71,13.46
0291.HK,29.9,7.42,9.64,12.84
0293.HK,38.62,0.0,0.0,0.0
0317.HK,38.73,0.0,0.0,0.0
0322.HK,31.01,7.13,13.67,10.21
0338.HK,29.2,9.56,15.83,3.81
0347.HK,45.13,11.51,20.59,13.04
0358.HK,54.48,12.89,23.28,18.31
0371.HK,41.25,9.02,16.78,15.45
0384.HK,35.04,8.81,11.69,14.54
0386.HK,52.45,13.16,19.74,19.55
0388.HK,15.11,8.31,1.32,5.49
0390.HK,45.71,15.35,9.15,21.22
0392.HK,39.59,11.26,15.9,12.42
0489.HK,21.08,8.73,6.56,5.79
0525.HK,30.75,0.0,0.0,0.0
0551.HK,19.69,0.0,0.0,0.0
0656.HK,41.9,10.34,17.72,13.84
0659.HK,31.97,11.76,6.25,13.96
0669.HK,22.77,6.37,8.41,7.98
0670.HK,28.47,6.82,10.07,11.58
0688.HK,16.97,7.85,3.56,5.57
0696.HK,22.28,8.4,1.19,12.69
0700.HK,22.9,8.37,1.89,12.64
0728.HK,28.57,9.05,7.87,11.65
0753.HK,29.85,6.72,10.33,12.8
0762.HK,29.57,8.24,7.61,13.71
0763.HK,18.57,9.62,1.11,7.83
