Ticker,Sector,Total ESG Risk Score,Volatility of Stock Prices Standard deviation
0001.HK,Industrials,29.22,0.014339818044358561
0002.HK,Utilities,27.98,0.011979660694234987
0003.HK,Utilities,21.19,0.01602204212831538
0004.HK,Real Estate,19.37,0.027773939953848335
0005.HK,Financial Services,19.35,0.01887907842166642
0006.HK,Utilities,33.35,0.010936944831420464
0010.HK,Real Estate,17.23,0.01579606054679595
0011.HK,Financial Services,20.06,0.015620276267682663
0012.HK,Real Estate,19.43,0.01790009652338595
0016.HK,Real Estate,18.3,0.013512184202521586
0017.HK,Real Estate,14.32,0.022822168691943333
0019.HK,Industrials,36.85,0.019351573355251183
0020.HK,Technology,16.49,0.06338683056949637
0023.HK,Financial Services,20.69,0.01686068333075014
0027.HK,Consumer Cyclical,28.1,0.02884558476509387
0066.HK,Industrials,21.56,0.010013148186327078
0083.HK,Real Estate,13.08,0.01600349863753202
0101.HK,Real Estate,15.38,0.021347261828947785
0135.HK,Energy,30.94,0.029567547389470025
0144.HK,Industrials,16.43,0.02005196481104818
0151.HK,Consumer Defensive,39.64,0.021218609799095928
0168.HK,Consumer Defensive,29.97,0.02858266107467328
0175.HK,Consumer Cyclical,23.79,0.03701256136184804
0177.HK,Industrials,12.97,0.01775610458980611
0257.HK,Industrials,20.89,0.027489007550149717
0267.HK,Industrials,52.41,0.017348902453108765
0270.HK,Utilities,30.68,0.02489208649198397
0288.HK,Consumer Defensive,36.08,0.020991628488984174
0291.HK,Consumer Defensive,30.47,0.03190850907228973
0293.HK,Industrials,33.89,0.02032268418188016
0317.HK,Industrials,38.73,0.028201983284141842
0322.HK,Consumer Defensive,31.19,0.0196605177614546
0338.HK,Energy,28.69,0.018425450448939035
0347.HK,Basic Materials,50.09,0.02906715387884835
0358.HK,Basic Materials,54.74,0.02561129181264969
0371.HK,Utilities,39.84,0.02385162850371159
0384.HK,Utilities,31.4,0.03153573829978547
0386.HK,Energy,52.35,0.015507644939082677
0388.HK,Financial Services,17.43,0.02622406175816794
0390.HK,Industrials,50.66,0.022745126559656548
0392.HK,Industrials,33.98,0.020578835515934316
0489.HK,Consumer Cyclical,20.47,0.023325640791960377
0525.HK,Industrials,30.13,0.0205486332899226
0551.HK,Consumer Cyclical,21.83,0.02683500805879257
0656.HK,Industrials,41.37,0.027100707577488944
0659.HK,Industrials,28.77,0.016971603468984162
0669.HK,Industrials,22.87,0.03390337834366909
0670.HK,Industrials,28.39,0.023070224952051847
0688.HK,Real Estate,15.95,0.03156611572581747
0696.HK,Technology,22.31,0.03210696201049377
0700.HK,Communication Services,22.44,0.034087689787924515
0728.HK,Communication Services,28.57,0.015163034947469425
0753.HK,Industrials,29.79,0.029195775565200525
0762.HK,Communication Services,29.51,0.014667346404388956
0763.HK,Technology,19.47,0.032283077911613584
0836.HK,Utilities,45.84,0.03790046975341824
0857.HK,Energy,55.01,0.01908977936205099
0883.HK,Energy,43.29,0.020927393859268055
0902.HK,Utilities,48.64,0.037762287749062415
0914.HK,Basic Materials,31.55,0.025060095848987513
0916.HK,Utilities,39.49,0.03232796503769183
0939.HK,Financial Services,30.98,0.012891193140658248
0941.HK,Communication Services,24.42,0.011463624664776757
0945.HK,Financial Services,17.33,0.015062422419322631
0960.HK,Real Estate,15.8,0.054302353051453735
0966.HK,Financial Services,27.64,0.02619538997347184
0981.HK,Technology,31.38,0.025545330053611197
0992.HK,Technology,15.25,0.022973510034964596
0998.HK,Financial Services,31.05,0.012660677645560751
1033.HK,Energy,38.55,0.02330295572864984
1038.HK,Utilities,37.96,0.01436082714064558
