Ticker,Sector,Industry,Number of Employees
0001.HK,Industrials,Conglomerates,300000
0002.HK,Utilities,Utilities - Regulated Electric,8159
0003.HK,Utilities,Utilities - Regulated Gas,56444
0004.HK,Real Estate,Real Estate - Development,6400
0005.HK,Financial Services,Banks - Diversified,213978
0006.HK,Utilities,Utilities - Independent Power Producers,13
0010.HK,Real Estate,Real Estate Services,4141
0011.HK,Financial Services,Banks - Regional,8396
0012.HK,Real Estate,Real Estate - Diversified,9835
0016.HK,Real Estate,Real Estate - Development,40000
0017.HK,Real Estate,Real Estate - Diversified,13000
0019.HK,Industrials,Conglomerates,78000
0020.HK,Technology,Software - Application,4531
0023.HK,Financial Services,Banks - Regional,8140
0027.HK,Consumer Cyclical,Resorts & Casinos,20400
0066.HK,Industrials,Railroads,33405
0083.HK,Real Estate,Real Estate - Development,9700
0101.HK,Real Estate,Real Estate Services,4059
0135.HK,Energy,Oil & Gas Refining & Marketing,27138
0144.HK,Industrials,Marine Shipping,7749
0151.HK,Consumer Defensive,Packaged Foods,39887
0168.HK,Consumer Defensive,Beverages - Brewers,30687
0175.HK,Consumer Cyclical,Auto Manufacturers,60000
0177.HK,Industrials,Infrastructure Operations,4754
0257.HK,Industrials,Waste Management,12000
0267.HK,Industrials,Conglomerates,188862
0270.HK,Utilities,Utilities - Regulated Water,11495
0288.HK,Consumer Defensive,Packaged Foods,101000
0291.HK,Consumer Defensive,Beverages - Brewers,27232
0293.HK,Industrials,Airlines,23800
0317.HK,Industrials,Aerospace & Defense,6974
0322.HK,Consumer Defensive,Packaged Foods,66807
0338.HK,Energy,Oil & Gas Refining & Marketing,7526
0347.HK,Basic Materials,Steel,26964
0358.HK,Basic Materials,Copper,26066
0371.HK,Utilities,Utilities - Regulated Water,76608
0384.HK,Utilities,Utilities - Regulated Gas,74643
0386.HK,Energy,Oil & Gas Integrated,368009
0388.HK,Financial Services,Financial Data & Stock Exchanges,2419
0390.HK,Industrials,Engineering & Construction,299652
0392.HK,Industrials,Conglomerates,31000
0489.HK,Consumer Cyclical,Auto Manufacturers,112706
0525.HK,Industrials,Railroads,37906
0551.HK,Consumer Cyclical,Footwear & Accessories,264700
0656.HK,Industrials,Conglomerates,108000
0659.HK,Industrials,Engineering & Construction,14500
0669.HK,Industrials,Tools & Accessories,47224
0670.HK,Industrials,Airlines,81781
0688.HK,Real Estate,Real Estate - Development,3651
0696.HK,Technology,Information Technology Services,6620
0700.HK,Communication Services,Internet Content & Information,104787
0728.HK,Communication Services,Telecom Services,278539
0753.HK,Industrials,Airlines,102874
0762.HK,Communication Services,Telecom Services,242891
0763.HK,Technology,Communication Equipment,72093
0836.HK,Utilities,Utilities - Independent Power Producers,22203
0857.HK,Energy,Oil & Gas Integrated,375803
0883.HK,Energy,Oil & Gas E&P,21786
0902.HK,Utilities,Utilities - Independent Power Producers,57038
0914.HK,Basic Materials,Building Materials,50769
0916.HK,Utilities,Utilities - Renewable,8752
0939.HK,Financial Services,Banks - Diversified,376871
0941.HK,Communication Services,Telecom Services,451830
0945.HK,Financial Services,Insurance - Life,38000
0960.HK,Real Estate,Real Estate - Development,29116
0966.HK,Financial Services,Insurance - Life,65378
0981.HK,Technology,Semiconductors,20223
0992.HK,Technology,Computer Hardware,69500
